Hospital Name,Link,State,Address,"""Always"" quiet at night","""Usually"" quiet at night","Room was ""always"" clean","Room was ""usually"" clean","Patients ""always"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted","Doctors ""always"" communicated well","Doctors ""usually"" communicated well","Nurses ""always"" communicated well","Nurses ""usually"" communicated well","Staff ""always"" explained","Staff ""usually"" explained"
Mercy Medical Center,https://www.yelp.com/biz/mercy-medical-center-rockville-ctr,NY,1000 North Village Avenue,49,36,59,29,52,29,73,21,71,21,51,21
Phelps Memorial Hospital Assn,https://www.yelp.com/biz/phelps-memorial-hospital-center-sleepy-hollow-2,NY,701 North Broadway,50,35,80,17,70,22,81,16,82,15,62,18
St Luke's Cornwall Hospital,https://www.yelp.com/biz/st-lukes-cornwall-hospital-newburgh,NY,70 Dubois Street,42,40,69,22,56,30,76,18,74,20,60,17
Clifton Springs Hospital And Clinic,https://www.yelp.com/biz/clifton-springs-hospital-and-clinic-clifton-springs,NY,2 Coulter Road,51,38,75,20,71,25,81,17,79,17,64,17
New York-Presbyterian/Hudson Valley Hospital,https://www.yelp.com/biz/hudson-valley-hospital-center-cortlandt-manor-2,NY,1980 Crompond Road,56,34,78,15,69,23,84,12,83,14,69,14
Hospital For Special Surgery,https://www.yelp.com/biz/hospital-for-special-surgery-new-york-5,NY,535 East 70Th Street,58,31,82,14,79,17,85,11,88,10,69,15
Putnam Hospital Center,https://www.yelp.com/biz/putnam-hospital-center-carmel-2,NY,670 Stoneleigh Avenue,59,31,73,20,69,22,81,14,81,15,72,17
Nathan Littauer Hospital,https://www.yelp.com/biz/nathan-littauer-hospital-and-nursing-home-gloversville-3,NY,99 East State Street,54,34,74,18,70,23,77,17,80,17,65,16
Mercy Hospital Of Buffalo,https://www.yelp.com/biz/mercy-hospital-buffalo,NY,565 Abbott Road,48,37,63,26,53,35,74,21,78,18,60,18
Strong Memorial Hospital,https://www.yelp.com/biz/strong-memorial-hospital-rochester-3,NY,601 Elmwood Ave,48,34,63,26,61,30,78,18,80,17,60,21
Good Samaritan Hospital Medical Center,https://www.yelp.com/biz/good-samaritan-hospital-medical-center-west-islip-4,NY,1000 Montauk Highway,43,38,71,21,65,25,75,20,78,17,60,18
